Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
InterMiles ICICI Bank Sapphiro Credit Card,Travel,"Rs. 5,000 (plus applicable taxes)","Rs. 5,000 (plus applicable taxes)","1 year InterMiles Silver Tier membership with 10,000 bonus InterMiles, a discount of Rs. 750 on flight bookings and Rs. 1,500 on hotel bookings (AmEx variant), a discount of Rs. 500 on flight bookings and Rs. 1,000 on hotel reservations (Visa variant).","5 InterMiles/Rs. 100 on domestic and 7 InterMiles/Rs. 100 on international spends (AmEx variant), 4 InterMiles/Rs. 100 domestic and 5 InterMiles/Rs. 100 on international spends (Visa variant), Accelerated InterMiles on bookings on the InterMiles official website","Reward Points earned as InterMiles, complimentary Dreamfolks membership with 2 international lounge access and 2 domestic airport spa visits","2 complimentary domestic lounge access each with both Visa and AmEx variants if Rs. 5,000 spent in the previous quarter",NA,"Buy one movie ticket and get up to Rs. 500 off on second ticket on BookMyShow (max 2 times a month), dining benefits with the Culinary Treats program",InterMiles redeemable for flight/hotel bookings on the InterMiles portal from partner airlines/hotel chains,"1 complimentary round of golf per month for every Rs. 50,000 spent in the previous month",2 complimentary international lounge access every year under the Dreamfolks membership,Cardmember not liable for any fraudulent transaction post reporting the loss of card to the bank,NA,Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.5% per month (42% annually),1% fuel surcharge waived off at all fuel stations across India,"2.5% of the transacted amount, subject to a minimum amount of Rs. 300",Rs. 250 (plus applicable taxes),NA,NA
InterMiles ICICI Bank Rubyx Credit Card,Travel,"Rs. 2,500 (plus applicable taxes)","Rs. 2,500 (plus applicable taxes)","5,000 bonus InterMiles, flight discount voucher worth Rs. 500 and hotel discount voucher worth Rs. 1,000","3 InterMiles per Rs. 100 on domestic spends, 4 InterMiles per Rs. 100 on international spends with the Visa variant; 4 InterMiles per Rs. 100 on domestic spends, 5 InterMiles per Rs. 100 on international spends the American Express variant, 1 InterMile per Rs. 100 on insurance and utility spends",Complimentary airport lounge access,2 domestic airport lounge access each quarter (1 lounge access each through American Express & Visa variant).,NA,25% discount (max Rs. 150 per month) on movie tickets on BookMyShow & up to 15% discount on dining through the Culinary Treats Programme.,"InterMiles earned can be redeemed for flight bookings, hotel reservations, shopping vouchers, etc on the InterMiles web portal ",NA,NA,You will not be liable for any unauthorized transactions made on your card if the loss is reported to the bank in a timely manner.,NA,Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.5% per month (42% per annum),"1% fuel surcharge waiver across all HPCL petrol pumps for a maximum fuel transaction of Rs. 4,000.",2.5% of the amount transacted or Rs. 300 (whichever is higher),Rs. 250 (plus applicable taxes),NA,NA
ICICI Bank Diamant Credit Card,"Movies , Travel","Rs. 1,25,000 (plus applicable taxes)","Rs. 1,25,000 (plus applicable taxes)","Apple MacBook Air MMGG2HNA worth Rs. 75,000 on realization of the joining fee",6 Reward Points per Rs. 100 on internationally and 3 Reward Points on domestic spends.,"Taj Epicure Plus and InnerCircle Gold membership, unlimited complimentary domestic and international airport lounge access",Unlimited complimentary domestic airport lounge access,"Credit shield cover worth Rs. 50,000 and many travel-related insurance benefits including a personal air accident cover worth Rs. 3 crore.","Up to 4 complimentary movie tickets each month on BookMyShow, minimum 15% discount on dining bills at partner restaurants under Culinary Treats program, discount on dining at ITC and partner hotels with Club ITC Culinaire membership",The ICICI Reward Points can be redeemed against cashback or gifts at a rate of 1 Reward Point = Rs. 0.25.,Unlimited complimentary rounds of golf at domestic and international Golf courses,Unlimited complimentary international airport lounge access,The cardholder shall not be liable for any unauthorized transactions made on their lost card post reporting the loss to the bank in a timely manner.,The renewal fee is waived off an annual expenditure of Rs. 25 lakh or more in the previous year.,Rs. 99 (plus applicable taxes) for every redemption request,3.5% of the transaction amount,3.4% per month,"1% fuel surcharge is waived off on all fuel transactions up to Rs. 4,000",2.5% of the amount withdrawn subject to a minimum charge of Rs. 300,NA,NA,NA
InterMiles ICICI Bank Coral Credit Card,Travel,"Rs. 1,250 (plus applicable taxes)","Rs. 1,250 (plus applicable taxes)","You get exclusive flights and hotels discount vouchers on booking from partner brand, www.intermiles.com, as a welcome benefit. You also get 2,500 bonus InterMiles on joining.","3 Intermiles on Rs. 100 spent on the American Express variant and 2 Intermiles per Rs. 100 spent on the VISA variant, 6 InterMiles on every Rs. 100 spent on booking revenue airline tickets at intermiles.com on American Express variant and 5 InterMiles per Rs. 100 on VISA variant.",Complimentary domestic lounge access.,You get 2 complimentary access to domestic lounges per quarter ( 1 each on VISA and American Express Variant).,NA,"25% discount up to Rs. 100 on purchase of movie tickets twice a month from BookMyShow, exclusive and exciting benefits on dining under ICICI Bank Culinary Treats Program.","The accumulated InterMiles can be further redeemed for booking flights and hotels through www.intermiles.com, for purchasing gift vouchers, fuel, etc. 4 InterMiles are equivalent to Re. 1 (only applicable for fuel purchase).",NA,NA,NA,NA,Rs 99 (plus applicable taxes) per redemption request,3.5% of transaction amount,3.4% per month (40.8% per annum),Avail waiver of 1% fuel surcharge on the purchase of fuel up to Rs 4000 from HPCL pumps when swiping on ICICI Bank machines.,2.5% ( subject to a minimum of Rs. 300),NA,NA,NA
ICICI Bank Carbon Credit Card,"Movies , Dining","Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)",NA,2 Reward Points per Rs. 100 spent with the card,Get complimentary airport lounge access every quarter and exclusive discount offers on flight/hotel bookings,4 complimentary domestic lounge access per calendar quarter,NA,"Up to 2 free movie tickets every month, a discount of 15% or more on dining.","The Reward Points are redeemable against cashback, gift, and several other options at a rate of 1 RP = Re. 0.25.",NA,NA,The cardmember shall not be liable for any unauthorized transactions made on a card once it is reported lost/stolen to the bank.,NA,Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.4% per month (or 40.8% per annum),"2.5% fuel surcharge waiver at all fuel stations for transactions up to Rs. 4,000",2.5% of the cash amount withdrawn or a minimum of Rs. 300,NA,NA,NA
ICICI Bank VISA Signature Credit Card,Shopping,"Rs. 25,000 (plus applicable taxes)","Rs. 25,000 (plus applicable taxes)","30,000 hand-picked rewards.","On every spend of Rs. 100, you get 5 hand-picked rewards on international spends, 4 hand-picked rewards on travel bookings, 2 hand-picked rewards on hotels & restaurants, and 1 hand-picked reward elsewhere. 2X rewards on all categories for spends above Rs. 5 lakhs.",Get complimentary Priority Pass Membership.,NA,NA,NA,"The Hand-picked Rewards you earn can be redeemed against various options like travel, fashion, dining, gadgets, shopping, InterMiles, etc.",1 complimentary golf rounds each month on a total retail spend of over 1 lakh in the previous month,NA,The cardholder will not be liable for any fraudulent transactions made on the card once the card is reported lost/stolen.,NA,Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.4% per month (or 40.8% per annum),1% fuel surcharge waiver on all petrol pumps,2.5% of the amount withdrawn or Rs. 300 (whichever is higher),NA,NA,NA
ICICI Bank Ferrari Signature Credit Card,"Movies , Travel","Rs. 3,999","Rs. 3,999",A Scuderia Ferrari Watch.,2 Reward Points on every Rs. 100 you spend.,Complimentary domestic lounge access every quarter.,2 complimentary domestic lounge access each calendar quarter.,NA,Buy 1 Get 1 Free offer on movies on BookMyShow & a minimum discount of 15% on dining.,The Reward Points you earn can be redeemed against an array of categories at a rate of 1 Reward Point = Re. 0.25.,NA,NA,The cardholder will not be liable for any unauthorized transactions made on the card if the card is reported lost/stolen to the bank in a timely manner.,"The annual fee is waived off on spending Rs. 2,50,000 or more in the previous year.",Rs. 99 on every redemption request.,3.5% on all overseas transactions.,3.40%,1% fuel surcharge waiver at all HPCL fuel stations.,2.5% of the transacted amount subject to a minimum of Rs. 300.,NA,NA,NA
ICICI Bank Platinum Identity Credit Card,Shopping,NA,NA,NA,"2 Hand-picked Rewards per Rs. 200 on domestic spends, 4 Hand-picked Rewards per Rs. 200 on international spends, 3 and 5 Hand-picked Rewards per Rs. 200 on domestic and international spends respectively on crossing the annual spends threshold of Rs. 2.5 lakh, 4 and 8 hand-picked rewards on domestic and international spends respectively on crossing the annual spends threshold of Rs. 5 lakh",NA,NA,NA,NA,"Hand-picked Rewards can be redeemed for Air Miles and other travel-related spends and for spends on fashion, electronics, gadgets and dining categories on the Hand-picked Rewards catalog.",NA,NA,Cardholder shall not be liable for any fraudulent transaction made with the card post reporting the loss of card to the bank.,NA,Rs. 99 (plus applicable taxes) per redemption request,3.50% of the transaction amount,3.40% per month (or 40.8% per annum),Fuel surcharge waived at all filling stations across India,2.5% or a minimum of Rs. 300,NA,NA,NA
ICICI Bank Platinum Chip Credit Card,Dining,NA,NA,NA,2 Reward Points on every retail spend of Rs. 100,NA,NA,NA,Up to 15% off on dining through the ICICI Bank Culinary Treats Programme.,The Reward Points can be redeemed against cashback or gifts.,NA,NA,Zero Liability Protection for a lost/stolen card is provided if reported in a timely manner.,NA,Rs. 99 for every redemption request that you place.,3.5% of the amount transacted.,3.4% per month,1% fuel surcharge waiver on transcations done at HPCL fuel stations.,Higher of Rs. 300 or 2.5% of the amount withdrawn.,NA,NA,NA
ICICI Bank Expressions Credit Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),NA,"3 Reward Points per Rs. 100 spent with the card (except fuel, utility and insurance spends), 2 Reward Points per Rs. 100 on utility payments",Complimentary domestic lounge access,1 complimentary access to domestic airport lounges per quarter.,NA,25% discount (up to Rs. 100) on movie ticket bookings on BookMyShow on booking a minimum of 2 tickets in a single transaction. Offer can be availed maximum twice in a month.,The earned Reward Points can be redeemed against gifts or the card’s outstanding balance at a rate of 1 Reward Point = Rs. 0.25.,NA,NA,Cardholders shall not be liable for any fraudulent transaction made with the card post reporting the loss of card to the bank,The renewal fee is waived off on expenditure of Rs. 1.5 lakh in the previous year.,Rs. 99 (plus applicable taxes) per redemption request,3.50% of the conversion amount,3.40% p.m. (or 40.8% annually),"1% fuel surcharge waived off at HPCL filling station across India on transactions of not more than Rs. 4,000","2.50% of the withdrawn amount, subject to a minimum charge of Rs. 300",Rs. 199 (plus applicable taxes),NA,NA
ICICI Manchester United Signature Credit Card,"Movies , Travel","Rs 2,499 (plus applicable taxes)","Rs 2,499 (plus applicable taxes)","As a welcome benefit, you get a Manchester United Branded holdall and football","You get 3 Reward points on domestic transactions, 4 Reward points on international transactions, and up to 5 Reward points on the Manchester United match days.",Complimentary domestic lounges access per quarter with ICICI Manchester United Signature credit card,"2 complimentary domestic lounges access per quarter on the spending Rs. 5,000 or more in the previous quarter.",NA,Get up to 25% discount on Movie Ticket booking with BookMyShow and INOX. You also get access to exclusive dining offers with ICICI Bank Culinary Treats Programme.,The ICICI Reward Points can be redeemed against a lot of options including gifts and cashback at a rate of 1 RP = Re. 0.25.,NA,NA,NA,"You get a spend-based waiver on an annual fee of Rs 2,499 plus applicable taxes if your annual spend is more than Rs 2,50,000 in the previous year.","Rs 99 (plus applicable taxes) per redemption request from the product catalog
Rs 25 (plus applicable taxes) on redemption for partner brands",3.5% of the transaction amount,3.67% per month (44% per annum),Get up to 1% fuel surcharge waiver on all fuel transactions at HPCL pumps.,2.5% of the withdrawn amount subject to the minimum amount of Rs 300.,Rs. 100,NA,NA
